Winner,F,Loser,Date,S,Round
 West Germany,3–3, France,8-Jul-82,5–4,Semi-finals
 France,1–1, Brazil,21-Jun-86,4–3,Quarter-finals
 West Germany,0–0, Mexico,21-Jun-86,4–1,Quarter-finals
 Belgium,1–1, Spain,22-Jun-86,5–4,Quarter-finals
 Republic of Ireland,0–0, Romania,25-Jun-90,5–4,Second round
 Argentina,0–0, Yugoslavia,30-Jun-90,3–2,Quarter-finals
 Argentina,1–1, Italy,3-Jul-90,4–3,Semi-finals
 West Germany,1–1, England,4-Jul-90,4–3,Semi-finals
 Bulgaria,1–1, Mexico,5-Jul-94,3–1,Second round
 Sweden,2–2, Romania,10-Jul-94,5–4,Quarter-finals
 Brazil,0–0, Italy,17-Jul-94,3–2,Final
 Argentina,2–2, England,30-Jun-98,4–3,Second round
 France,0–0, Italy,3-Jul-98,4–3,Quarter-finals
 Brazil,1–1, Netherlands,7-Jul-98,4–2,Semi-finals
 Spain,1–1, Republic of Ireland,16-Jun-02,3–2,Second round
 South Korea,0–0, Spain,22-Jun-02,5–3,Quarter-finals
 Ukraine,0–0,  Switzerland,26-Jun-06,3–0,Second round
 Germany,1–1, Argentina,30-Jun-06,4–2,Quarter-finals
 Portugal,0–0, England,1-Jul-06,3–1,Quarter-finals
 Italy,1–1, France,9-Jul-06,5–3,Final
 Paraguay,0–0, Japan,29-Jun-10,5–3,Second round
 Uruguay,1–1, Ghana,2-Jul-10,4–2,Quarter-finals
 Brazil,1–1, Chile,28-Jun-14,3–2,Second round
 Costa Rica,1–1, Greece,29-Jun-14,5–3,Second round
 Netherlands,0–0, Costa Rica,5-Jul-14,4–3,Quarter-finals
 Argentina,0–0, Netherlands,9-Jul-14,4–2,Semi-finals
